date,ags,age_group,stage,new
2020-12-27,1003,18-59,1,9
2020-12-27,1003,60+,1,19
2020-12-27,1053,18-59,1,13
2020-12-27,1053,60+,1,200
2020-12-27,1055,18-59,1,20
2020-12-27,1055,60+,1,66
2020-12-27,1056,18-59,1,65
2020-12-27,1056,60+,1,7
2020-12-27,1057,18-59,1,12
2020-12-27,1057,60+,1,72
2020-12-27,1059,18-59,1,11
2020-12-27,1059,60+,1,88
2020-12-27,1060,18-59,1,58
2020-12-27,1060,60+,1,36
2020-12-27,1061,60+,1,40
2020-12-27,1062,18-59,1,78
2020-12-27,1062,60+,1,8
2020-12-27,2000,18-59,1,183
2020-12-27,2000,60+,1,259
2020-12-27,3453,18-59,1,35
2020-12-27,3453,60+,1,66
2020-12-27,3459,18-59,1,91
2020-12-27,3459,60+,1,180
2020-12-27,4011,18-59,1,150
2020-12-27,4011,60+,1,286
2020-12-27,4012,18-59,1,43
2020-12-27,4012,60+,1,34
2020-12-27,5111,18-59,1,27
2020-12-27,5111,60+,1,154
2020-12-27,5112,18-59,1,62
2020-12-27,5112,60+,1,184
2020-12-27,5113,18-59,1,166
2020-12-27,5113,60+,1,156
2020-12-27,5116,18-59,1,38
2020-12-27,5116,60+,1,81
2020-12-27,5117,18-59,1,283
2020-12-27,5117,60+,1,251
2020-12-27,5119,18-59,1,50
2020-12-27,5119,60+,1,213
2020-12-27,5120,18-59,1,11
2020-12-27,5122,18-59,1,39
2020-12-27,5124,18-59,1,41
2020-12-27,5124,60+,1,34
2020-12-27,5154,18-59,1,75
2020-12-27,5154,60+,1,103
2020-12-27,5158,18-59,1,78
2020-12-27,5158,60+,1,89
2020-12-27,5162,18-59,1,34
2020-12-27,5162,60+,1,25
2020-12-27,5166,18-59,1,82
2020-12-27,5166,60+,1,200
2020-12-27,5170,18-59,1,10
2020-12-27,5170,60+,1,171
2020-12-27,5314,18-59,1,39
2020-12-27,5314,60+,1,61
2020-12-27,5315,18-59,1,116
2020-12-27,5315,60+,1,133
2020-12-27,5316,18-59,1,50
2020-12-27,5316,60+,1,51
2020-12-27,5334,18-59,1,41
