date,ags,age_group,stage,new
2022-01-06,1001,05-11,1,126
2022-01-06,1001,05-11,2,26
2022-01-06,1001,12-17,1,12
2022-01-06,1001,12-17,2,21
2022-01-06,1001,12-17,3,37
2022-01-06,1001,18-59,1,24
2022-01-06,1001,18-59,2,82
2022-01-06,1001,18-59,3,661
2022-01-06,1001,60+,2,18
2022-01-06,1001,60+,3,258
2022-01-06,1002,05-11,1,170
2022-01-06,1002,05-11,2,59
2022-01-06,1002,05-11,3,5
2022-01-06,1002,12-17,1,23
2022-01-06,1002,12-17,2,39
2022-01-06,1002,12-17,3,69
2022-01-06,1002,18-59,1,55
2022-01-06,1002,18-59,2,180
2022-01-06,1002,18-59,3,1638
2022-01-06,1002,60+,1,20
2022-01-06,1002,60+,2,33
2022-01-06,1002,60+,3,643
2022-01-06,1003,05-11,1,147
2022-01-06,1003,05-11,2,53
2022-01-06,1003,12-17,1,42
2022-01-06,1003,12-17,2,64
2022-01-06,1003,12-17,3,70
2022-01-06,1003,18-59,1,60
2022-01-06,1003,18-59,2,327
2022-01-06,1003,18-59,3,1642
2022-01-06,1003,60+,1,9
2022-01-06,1003,60+,2,41
2022-01-06,1003,60+,3,623
2022-01-06,1004,05-11,1,89
2022-01-06,1004,05-11,2,44
2022-01-06,1004,12-17,1,24
2022-01-06,1004,12-17,2,26
2022-01-06,1004,12-17,3,48
2022-01-06,1004,18-59,1,40
2022-01-06,1004,18-59,2,110
2022-01-06,1004,18-59,3,720
2022-01-06,1004,60+,1,6
2022-01-06,1004,60+,2,12
2022-01-06,1004,60+,3,315
2022-01-06,1051,05-11,1,108
2022-01-06,1051,05-11,2,30
2022-01-06,1051,12-17,1,14
2022-01-06,1051,12-17,2,29
2022-01-06,1051,12-17,3,38
2022-01-06,1051,18-59,1,13
2022-01-06,1051,18-59,2,101
2022-01-06,1051,18-59,3,755
2022-01-06,1051,60+,2,16
2022-01-06,1051,60+,3,371
2022-01-06,1053,05-11,1,284
2022-01-06,1053,05-11,2,32
2022-01-06,1053,12-17,1,20
2022-01-06,1053,12-17,2,65
2022-01-06,1053,12-17,3,38
2022-01-06,1053,18-59,1,39
2022-01-06,1053,18-59,2,150
2022-01-06,1053,18-59,3,1095
2022-01-06,1053,18-59,4,5
2022-01-06,1053,60+,2,28
2022-01-06,1053,60+,3,510
2022-01-06,1054,05-11,1,53
2022-01-06,1054,05-11,2,24
2022-01-06,1054,12-17,1,26
2022-01-06,1054,12-17,2,55
2022-01-06,1054,12-17,3,28
2022-01-06,1054,18-59,1,30
2022-01-06,1054,18-59,2,182
2022-01-06,1054,18-59,3,985
2022-01-06,1054,60+,2,34
2022-01-06,1054,60+,3,628
2022-01-06,1055,05-11,1,70
2022-01-06,1055,05-11,2,36
2022-01-06,1055,12-17,1,17
2022-01-06,1055,12-17,2,35
2022-01-06,1055,12-17,3,40
2022-01-06,1055,18-59,1,30
2022-01-06,1055,18-59,2,186
2022-01-06,1055,18-59,3,1111
2022-01-06,1055,60+,2,39
2022-01-06,1055,60+,3,694
2022-01-06,1056,05-11,1,140
2022-01-06,1056,05-11,2,39
2022-01-06,1056,12-17,1,42
2022-01-06,1056,12-17,2,52
2022-01-06,1056,12-17,3,58
2022-01-06,1056,18-59,1,61
2022-01-06,1056,18-59,2,242
2022-01-06,1056,18-59,3,2261
2022-01-06,1056,60+,1,21
2022-01-06,1056,60+,2,45
2022-01-06,1056,60+,3,1037
2022-01-06,1057,05-11,1,108
2022-01-06,1057,05-11,2,8
