date,ags,age_group,stage,new
2021-09-12,01001,12-17,1,30
2021-09-12,01001,12-17,2,63
2021-09-12,01001,18-59,1,75
2021-09-12,01001,18-59,2,163
2021-09-12,01001,18-59,3,12
2021-09-12,01001,60+,1,5
2021-09-12,01001,60+,3,15
2021-09-12,01002,12-17,1,15
2021-09-12,01002,12-17,2,72
2021-09-12,01002,18-59,1,137
2021-09-12,01002,18-59,2,142
2021-09-12,01002,18-59,3,26
2021-09-12,01002,60+,2,8
2021-09-12,01002,60+,3,29
2021-09-12,01003,12-17,1,16
2021-09-12,01003,12-17,2,37
2021-09-12,01003,18-59,1,111
2021-09-12,01003,18-59,2,119
2021-09-12,01003,18-59,3,27
2021-09-12,01003,60+,1,16
2021-09-12,01003,60+,2,13
2021-09-12,01003,60+,3,36
2021-09-12,01004,12-17,1,12
2021-09-12,01004,12-17,2,22
2021-09-12,01004,18-59,1,35
2021-09-12,01004,18-59,2,47
2021-09-12,01004,18-59,3,11
2021-09-12,01004,60+,2,6
2021-09-12,01004,60+,3,10
2021-09-12,01051,12-17,1,5
2021-09-12,01051,12-17,2,18
2021-09-12,01051,18-59,1,24
2021-09-12,01051,18-59,2,43
2021-09-12,01051,18-59,3,15
2021-09-12,01051,60+,3,23
2021-09-12,01053,12-17,1,11
2021-09-12,01053,12-17,2,30
2021-09-12,01053,18-59,1,52
2021-09-12,01053,18-59,2,78
2021-09-12,01053,18-59,3,11
2021-09-12,01053,60+,1,8
2021-09-12,01053,60+,2,5
2021-09-12,01053,60+,3,39
2021-09-12,01054,12-17,1,9
2021-09-12,01054,12-17,2,83
2021-09-12,01054,18-59,1,40
2021-09-12,01054,18-59,2,136
2021-09-12,01054,18-59,3,10
2021-09-12,01054,60+,2,10
2021-09-12,01054,60+,3,27
2021-09-12,01055,12-17,1,10
2021-09-12,01055,12-17,2,42
2021-09-12,01055,18-59,1,42
2021-09-12,01055,18-59,2,82
2021-09-12,01055,18-59,3,25
2021-09-12,01055,60+,1,6
2021-09-12,01055,60+,2,8
2021-09-12,01055,60+,3,23
2021-09-12,01056,12-17,1,26
2021-09-12,01056,12-17,2,109
2021-09-12,01056,18-59,1,64
2021-09-12,01056,18-59,2,156
2021-09-12,01056,18-59,3,25
2021-09-12,01056,60+,1,8
2021-09-12,01056,60+,2,13
2021-09-12,01056,60+,3,45
2021-09-12,01057,12-17,2,16
2021-09-12,01057,18-59,1,14
2021-09-12,01057,18-59,2,16
2021-09-12,01057,18-59,3,11
2021-09-12,01057,60+,3,18
2021-09-12,01058,12-17,1,14
2021-09-12,01058,12-17,2,33
2021-09-12,01058,18-59,1,61
2021-09-12,01058,18-59,2,67
2021-09-12,01058,18-59,3,16
2021-09-12,01058,60+,1,11
2021-09-12,01058,60+,2,8
2021-09-12,01058,60+,3,29
2021-09-12,01059,12-17,2,40
2021-09-12,01059,18-59,1,27
2021-09-12,01059,18-59,2,50
2021-09-12,01059,18-59,3,12
2021-09-12,01059,60+,3,16
2021-09-12,01060,12-17,1,25
2021-09-12,01060,12-17,2,90
2021-09-12,01060,18-59,1,91
2021-09-12,01060,18-59,2,215
2021-09-12,01060,18-59,3,13
2021-09-12,01060,60+,2,15
2021-09-12,01060,60+,3,25
2021-09-12,01061,12-17,1,14
2021-09-12,01061,12-17,2,25
2021-09-12,01061,18-59,1,41
2021-09-12,01061,18-59,2,86
2021-09-12,01061,18-59,3,19
